english_word,spanish_word,idk,idk
"hello","hola","1 interjection",""
"yes","sí","1 interjection",""
"no","no","1 interjection",""
"excuse me /2","perdón","1 interjection",""
"excuse me /3","disculpe","1 interjection",""
"may I?","permiso","1 interjection",""
"sorry","lo siento","1 interjection",""
"please","por favor","1 interjection",""
"thank-you","gracias","1 interjection",""
"you're welcome","de nada","1 interjection",""
"pardon?","¿perdón?","1 interjection",""
"okay","okay","1 interjection",""
"good","bueno","1 interjection",""
"welcome","bienvenido","1 interjection",""
"bye","chao","1 interjection",""
"goodbye","adiós","1 interjection",""
"mr","señor","1 interjection",""
"mrs","señora","1 interjection",""
"miss","señorita","1 interjection",""
"of course x1","claro","1 interjection",""
"no big deal","no importa","1 interjection",""
"peace","tranquilo","1 interjection",""
"how do you say ... in Spanish?","¿cómo se dice ... en español?","1 phrase language",""
"what is ... in English?","¿qué es ... en inglés?","1 phrase language",""
"I speak Spanish","hablo español","1 phrase language",""
"I don't speak Spanish","no hablo español","1 phrase language",""
"do you speak English?","¿hablas inglés?","1 phrase language",""
"a little","un poco","1 phrase language",""
"I don't speak very well","no hablo muy bien","1 phrase language",""
"I understand","entiendo","1 phrase language",""
"I don't understand","no entiendo","1 phrase language",""
"do you understand me?","¿me entiendes?","1 phrase language",""
"say again","dilo de nuevo","1 phrase language",""
"how do you spell that?","¿cómo lo deletreas?","1 phrase language",""
"what is that?","¿qué es ese?","1 phrase language",""
"I don't know","no lo sé","1 phrase language",""
"you speak too fast","hablas demasiado rápido","1 phrase language",""
"please speak slowly","habla lento por favor","1 phrase language",""
"is that correct?","¿es correcto?","1 phrase language",""
"Is that correct Spanish?","¿es buen español?","1 phrase language",""
"do you have a room?","¿tiene un cuarto?","1 phrase travel",""
"take a photo of me","sácame una foto","1 phrase travel",""
"I have a problem","tengo un problema","1 phrase travel",""
"where is Florida Avenue?","¿dónde esta avenida florida?","1 phrase travel",""
"how much is it?","¿cuánto cuesta?","1 phrase trade",""
"I`m just looking","estoy mirando","1 phrase trade",""
"good morning /2","buenos días","1 phrase conversation",""
"good morning /1","buen día","1 phrase conversation",""
"good afternoon","buenas tardes","1 phrase conversation",""
"good evening","buenas noches","1 phrase conversation",""
"how are you? /1","¿qué tal?","1 phrase conversation",""
"how are you? /2","¿cómo estás?","1 phrase conversation",""
"how is it going? /1 @arg","¿cómo vas?","1 phrase conversation",""
"how is it going? /2 @arg","¿cómo andas?","1 phrase conversation",""
"how is it going sir? /2","¿cómo anda?","1 phrase conversation",""
"fine thanks","bien gracias","1 phrase conversation",""
"what's happening?","¿qué pasa?","1 phrase conversation",""
"what happened?","¿qué pasó?","1 phrase conversation",""
"what is your name? x3","¿cómo te llamas?","1 phrase conversation",""
"what is your name? x4","¿cuál es tu nombre?","1 phrase conversation",""
"I am called Roger","me llamo Roger","1 phrase conversation",""
"my name is Roger","mi nombre es roger","1 phrase conversation",""
"I am Roger","soy roger","1 phrase conversation",""
"nice to meet you x1","encantado","1 phrase conversation",""
"nice to meet you x2","mucho gusto","1 phrase conversation",""
"likewise","igualmente","1 phrase conversation",""
"where are you from?","¿de dónde eres?","1 phrase conversation",""
"I am Australian","soy australiano","1 phrase conversation",""
"where do you live?","¿dónde vives?","1 phrase conversation",""
"I live here","vivo acá","1 phrase conversation",""
"how long are you here?","por cuánto tiempo estás acá?","1 phrase conversation",""
"I am here for 1 month","estoy acá por un mes","1 phrase conversation",""
"when did you arrive?","¿cuándo llegaste?","1 phrase conversation",""
"I arrived today","llegué hoy","1 phrase conversation",""
"what do you do? x2","¿qué haces?","1 phrase conversation",""
"what do you do? x4","¿a qué te dedicas?","1 phrase conversation",""
"I am a porn star","soy estrella porno","1 phrase conversation",""
"what do you do for fun?","¿qué haces para divertirte?","1 phrase conversation",""
"I like running","me gusta correr","1 phrase conversation",""
"how old are you?","¿cuántos años tienes?","1 phrase conversation",""
"I am 30","tengo treinta años","1 phrase conversation",""
"what time is it?","¿qué hora es?","1 phrase time",""
"It's 10am","son las diez","1 phrase time",""
"more or less","más o menos","1 phrase",""
"I am hungry","tengo hambre","1 idiom",""
"I am thirsty","tengo sed","1 idiom",""
"I am sleepy","tengo sueño","1 idiom",""
"zero","cero","1 number",""
"one","uno","1 number",""
"two","dos","1 number",""
"three","tres","1 number",""
"four","cuatro","1 number",""
"five","cinco","1 number",""
"six","seis","1 number",""
"seven","siete","1 number",""
"eight","ocho","1 number",""
"nine","nueve","1 number",""
"ten","diez","1 number",""
"eleven","once","1 number",""
"twelve","doce","1 number",""
"thirteen","trece","1 number",""
"fourteen","catorce","1 number",""
"fifteen","quince","1 number",""
"sixteen","dieciséis","1 number",""
"seventeen","diecisiete","1 number",""
"eighteen","dieciocho","1 number",""
"nineteen","diecinueve","1 number",""
"twenty","veinte","1 number",""
"thirty","treinta","1 number",""
"forty","cuarenta","1 number",""
"fifty","cincuenta","1 number",""
"sixty","sesenta","1 number",""
"seventy","setenta","1 number",""
"eighty","ochenta","1 number",""
"ninety","noventa","1 number",""
"one hundred","cien","1 number",""
"two hundred","doscientos","1 number",""
"three hundred","trescientos","1 number",""
"four hundred","cuatrocientos","1 number",""
"five hundred","quinientos","1 number",""
"six hundred","seiscientos","1 number",""
"seven hundred","setecientos","1 number",""
"eight hundred","ochocientos","1 number",""
"nine hundred","novecientos","1 number",""
"one thousand","mil","1 number",""
"one million","un millón","1 number",""
"who","quién","1 interrogative",""
"what","qué","1 interrogative",""
"when","cuándo","1 interrogative",""
"where","dónde","1 interrogative",""
"why","por qué","1 interrogative",""
"which","cuál","1 interrogative",""
"how","cómo","1 interrogative",""
"how long","cuánto tiempo","1 interrogative",""
"how much","cuánto","1 interrogative",""
"how often","cada cuánto","1 interrogative",""
"at where","adónde","1 interrogative",""
"I","yo","1 pronoun subject",""
"you","tú","1 pronoun subject",""
"you @arg","vos","1 pronoun subject",""
"you sir ","usted","1 pronoun subject",""
"he","él","1 pronoun subject",""
"she","ella","1 pronoun subject",""
"we","nosotros","1 pronoun subject",""
"youz","ustedes","1 pronoun subject",""
"they :m","ellos","1 pronoun subject",""
"they :f","ellas","1 pronoun subject",""
"I see me","me veo","1 pronoun object",""
"I see you","te veo","1 pronoun object",""
"I see him","lo veo","1 pronoun object",""
"I see her","la veo","1 pronoun object",""
"I see us","nos veo","1 pronoun object",""
"I see youz","los veo","1 pronoun object",""
"I see m:them","los veo","1 pronoun object",""
"I see f:them","las veo","1 pronoun object",""
"for me","para mí","1 pronoun prepositional",""
"for you","para ti","1 pronoun prepositional",""
"for him","para él","1 pronoun prepositional",""
"for her","para ella","1 pronoun prepositional",""
"for us","para nosotros","1 pronoun prepositional",""
"for youz","para ustedes","1 pronoun prepositional",""
"for m:them","para ellos","1 pronoun prepositional",""
"for f:them","para ellas","1 pronoun prepositional",""
"nothing","nada","1 pronoun indefinite",""
"something","algo","1 pronoun indefinite",""
"this :f","ésta","1 pronoun demonstrative",""
"this :m","éste","1 pronoun demonstrative",""
"this :n","esto","1 pronoun demonstrative",""
"that :f","ésa","1 pronoun demonstrative",""
"that :m","ése","1 pronoun demonstrative",""
"that :n","eso","1 pronoun demonstrative",""
"these :f","éstas","1 pronoun demonstrative",""
"these :m","éstos","1 pronoun demonstrative",""
"those :f","ésas","1 pronoun demonstrative",""
"those :m","ésos","1 pronoun demonstrative",""
"mine","mío","1 pronoun demonstrative",""
"yours","tuyo","1 pronoun demonstrative",""
"his","suyo","1 pronoun demonstrative",""
"ours","nuestro","1 pronoun demonstrative",""
"yourzs","suyo","1 pronoun demonstrative",""
"theirs","suyo","1 pronoun demonstrative",""
"to be","ser","1 copula",""
"I am","yo soy","1 copula",""
"you are","tú eres","1 copula",""
"you are @arg","vos sos","1 copula",""
"he is","él es","1 copula",""
"she is","ella es","1 copula",""
"we are","nosotros somos","1 copula",""
"youz are","ustedes son","1 copula",""
"m:they are","ellos son","1 copula",""
"f:they are","ellas son","1 copula",""
"there is","hay","1 copula",""
"there was","había","1 copula",""
"to be now","estar","1 copula",""
"I am now","yo estoy","1 copula",""
"you are now","tú estás","1 copula",""
"you are now @arg","vos estás","1 copula",""
"he is now","él está","1 copula",""
"she is now","ella está","1 copula",""
"we are now","nosotros estamos","1 copula",""
"youz are","ustedes están","1 copula",""
"m:they are now","ellos están","1 copula",""
"f:they are now","ellas están","1 copula",""
"here /á","acá","1 adverb navigation",""
"here /í","aquí","1 adverb navigation",""
"just there","ahí","1 adverb navigation",""
"there","allí","1 adverb navigation",""
"over there","allá","1 adverb navigation",""
"up","arriba","1 adverb navigation",""
"down","abajo","1 adverb navigation",""
"right now @peru","ahorita","1 adverb temporal",""
"still","todavía","1 adverb temporal",""
"yet","todavía","1 adverb temporal",""
"already","ya","1 adverb temporal",""
"always","siempre","1 adverb temporal",""
"never","nunca","1 adverb temporal",""
"now","ahora","1 adverb temporal",""
"later","más tarde","1 adverb temporal",""
"yesterday","ayer","1 adverb temporal",""
"today","hoy","1 adverb temporal",""
"tomorrow","mañana","1 adverb temporal",""
"too much","demasiado","1 adverb",""
"like that","así","1 adverb",""
"enough","bastante","1 adverb",""
"slowly","despacio","1 adverb",""
"fast","rápido","1 adverb",""
"not","no","1 adverb",""
"maybe x1","quizás","1 adverb",""
"maybe x2","tal vez","1 adverb",""
"very","muy","1 adverb",""
"much","mucho","1 adverb",""
"as much","tanto","1 adverb",""
"well","bien","1 adverb",""
"also","también","1 adverb",""
"neither","tampoco","1 adverb",""
"only","sólo","1 adverb",""
"my friend","mi amigo","1 determiner personal",""
"my friends","mis amigos","1 determiner personal",""
"your friend","tu amigo","1 determiner personal",""
"your friends","tus amigos","1 determiner personal",""
"yourz friend","su amigo","1 determiner personal",""
"yourz friends","sus amigos","1 determiner personal",""
"his friend","su amigo","1 determiner personal",""
"his friends","sus amigos","1 determiner personal",""
"her friend","su amigo","1 determiner personal",""
"her friends","sus amigos","1 determiner personal",""
"their friend","su amigo","1 determiner personal",""
"their friends","sus amigos","1 determiner personal",""
"our m:friend","nuestro amigo","1 determiner personal",""
"our m:friends","nuestros amigos","1 determiner personal",""
"our f:friend","nuestra amiga","1 determiner personal",""
"our f:friends","nuestras amigas","1 determiner personal",""
"a boy","un chico","1 determiner",""
"a girl","una chica","1 determiner",""
"the boy","el chico","1 determiner",""
"the girl","la chica","1 determiner",""
"this boy","este chico","1 determiner",""
"this girl","esta chica","1 determiner",""
"that boy","ese chico","1 determiner",""
"that girl","esa chica","1 determiner",""
"these boys","estos chicos","1 determiner",""
"these girls","estas chicas","1 determiner",""
"those boys","esos chicos","1 determiner",""
"those girls","esas chicas","1 determiner",""
"some boys","unos chicos","1 determiner",""
"some girls","unas chicas","1 determiner",""
"all","todo","1 determiner",""
"and","y","1 conjunction",""
"or","o","1 conjunction",""
"if","si","1 conjunction",""
"but","pero","1 conjunction",""
"because","porque","1 conjunction",""
"in that case","entonces","1 conjunction",""
"at","a","1 preposition",""
"in","en","1 preposition",""
"of","de","1 preposition",""
"for /1","por","1 preposition",""
"for /2","para","1 preposition",""
"with","con","1 preposition",""
"without","sin","1 preposition",""
"from","de","1 preposition",""
"to","a","1 preposition",""
"until","hasta","1 preposition",""
"since","desde","1 preposition",""
"about","sobre","1 preposition",""
"behind","atrás","1 preposition",""
"in front","en frente","1 preposition",""
"with me","conmigo","1 preposition",""
"with you","contigo","1 preposition",""
"nor","ni","1 preposition",""
"to be","ser =<~""","1 verb passive",""
"to be now","estar <""","1 verb passive",""
"to have","tener <>g/","1 verb passive",""
"to x/have","haber =<>","1 verb passive",""
"to live","vivir","1 verb passive",""
"to be able to","poder <>/","1 verb passive",""
"to know","saber =<>","1 verb passive",""
"to know of","conocer ""","1 verb passive",""
"to understand /t","entender /","1 verb passive",""
